customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Charges.Monthly,Charges.Total,Charges.daily
0002-ORFBO,Permanece en la empresa,Female,No es adulto mayor,Tiene pareja,Tiene dependientes,9,Con servicio telefónico,No,DSL,No,Yes,No,Yes,Yes,No,One year,Sí,Mailed check,65.6,593.3,2.1866666666666665
0003-MKNFE,Permanece en la empresa,Male,No es adulto mayor,No tiene pareja,No tiene dependientes,9,Con servicio telefónico,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,59.9,542.4,1.9966666666666666
0004-TLHLJ,Abandonó la empresa,Male,No es adulto mayor,No tiene pareja,No tiene dependientes,4,Con servicio telefónico,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Sí,Electronic check,73.9,280.85,2.4633333333333334
0011-IGKFF,Abandonó la empresa,Male,Adulto mayor,Tiene pareja,No tiene dependientes,13,Con servicio telefónico,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Sí,Electronic check,98.0,1237.85,3.2666666666666666
0013-EXCHZ,Abandonó la empresa,Female,Adulto mayor,Tiene pareja,No tiene dependientes,3,Con servicio telefónico,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Sí,Mailed check,83.9,267.4,2.796666666666667
0013-MHZWF,Permanece en la empresa,Female,No es adulto mayor,No tiene pareja,Tiene dependientes,9,Con servicio telefónico,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Sí,Credit card (automatic),69.4,571.45,2.3133333333333335
0013-SMEOE,Permanece en la empresa,Female,Adulto mayor,Tiene pareja,No tiene dependientes,71,Con servicio telefónico,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Sí,Bank transfer (automatic),109.7,7904.25,3.6566666666666667
0014-BMAQU,Permanece en la empresa,Male,No es adulto mayor,Tiene pareja,No tiene dependientes,63,Con servicio telefónico,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,Sí,Credit card (automatic),84.65,5377.8,2.8216666666666668
0015-UOCOJ,Permanece en la empresa,Female,Adulto mayor,No tiene pareja,No tiene dependientes,7,Con servicio telefónico,No,DSL,Yes,No,No,No,No,No,Month-to-month,Sí,Electronic check,48.2,340.35,1.6066666666666667
0016-QLJIS,Permanece en la empresa,Female,No es adulto mayor,Tiene pareja,Tiene dependientes,65,Con servicio telefónico,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Sí,Mailed check,90.45,5957.9,3.015
0017-DINOC,Permanece en la empresa,Male,No es adulto mayor,No tiene pareja,No tiene dependientes,54,Sin servicio telefónico,No phone service,DSL,Yes,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),45.2,2460.55,1.5066666666666668
0017-IUDMW,Permanece en la empresa,Female,No es adulto mayor,Tiene pareja,Tiene dependientes,72,Con servicio telefónico,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Sí,Credit card (automatic),116.8,8456.75,3.893333333333333
0018-NYROU,Permanece en la empresa,Female,No es adulto mayor,Tiene pareja,No tiene dependientes,5,Con servicio telefónico,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Sí,Electronic check,68.95,351.5,2.2983333333333333
0019-EFAEP,Permanece en la empresa,Female,No es adulto mayor,No tiene pareja,No tiene dependientes,72,Con servicio telefónico,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Sí,Bank transfer (automatic),101.3,7261.25,3.3766666666666665
0019-GFNTW,Permanece en la empresa,Female,No es adulto mayor,No tiene pareja,No tiene dependientes,56,Sin servicio telefónico,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),45.05,2560.1,1.5016666666666665
0020-INWCK,Permanece en la empresa,Female,No es adulto mayor,Tiene pareja,Tiene dependientes,71,Con servicio telefónico,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Sí,Credit card (automatic),95.75,6849.4,3.191666666666667
0020-JDNXP,Permanece en la empresa,Female,No es adulto mayor,Tiene pareja,Tiene dependientes,34,Sin servicio telefónico,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Mailed check,61.25,1993.2,2.0416666666666665
0021-IKXGC,Permanece en la empresa,Female,Adulto mayor,No tiene pareja,No tiene dependientes,1,Con servicio telefónico,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Sí,Electronic check,72.1,72.1,2.4033333333333333
0022-TCJCI,Abandonó la empresa,Male,Adulto mayor,No tiene pareja,No tiene dependientes,45,Con servicio telefónico,No,DSL,Yes,No,Yes,No,No,Yes,One year,No,Credit card (automatic),62.7,2791.5,2.0900000000000003
0023-HGHWL,Abandonó la empresa,Male,Adulto mayor,No tiene pareja,No tiene dependientes,1,Sin servicio telefónico,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Sí,Electronic check,25.1,25.1,0.8366666666666667
0023-UYUPN,Permanece en la empresa,Female,Adulto mayor,Tiene pareja,No tiene dependientes,50,Con servicio telefónico,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,25.2,1306.3,0.84
0023-XUOPT,Abandonó la empresa,Female,No es adulto mayor,Tiene pareja,No tiene dependientes,13,Con servicio telefónico,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,94.1,1215.6,3.1366666666666663
0027-KWYKW,Permanece en la empresa,Female,No es adulto mayor,Tiene pareja,Tiene dependientes,23,Con servicio telefónico,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Sí,Electronic check,83.75,1849.95,2.7916666666666665
0030-FNXPP,Permanece en la empresa,Female,No es adulto mayor,No tiene pareja,No tiene dependientes,3,Con servicio telefónico,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.85,57.2,0.6616666666666667
0031-PVLZI,Abandonó la empresa,Female,No es adulto mayor,Tiene pareja,Tiene dependientes,4,Con servicio telefónico,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.35,76.35,0.6783333333333333
0032-PGELS,Abandonó la empresa,Female,No es adulto mayor,Tiene pareja,Tiene dependientes,1,Sin servicio telefónico,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),30.5,30.5,1.0166666666666666
0036-IHMOT,Permanece en la empresa,Female,No es adulto mayor,Tiene pareja,Tiene dependientes,55,Con servicio telefónico,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Sí,Bank transfer (automatic),103.7,5656.75,3.4566666666666666
0040-HALCW,Permanece en la empresa,Male,No es adulto mayor,Tiene pareja,Tiene dependientes,54,Con servicio telefónico,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.4,1090.6,0.6799999999999999
0042-JVWOJ,Permanece en la empresa,Male,No es adulto mayor,No tiene pareja,No tiene dependientes,26,Con servicio telefónico,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Sí,Bank transfer (automatic),19.6,471.85,0.6533333333333334
0042-RLHYP,Permanece en la empresa,Female,No es adulto mayor,Tiene pareja,Tiene dependientes,69,Con servicio telefónico,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.7,1396.9,0.6566666666666666
0048-LUMLS,Permanece en la empresa,Male,No es adulto mayor,Tiene pareja,Tiene dependientes,37,Con servicio telefónico,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),91.2,3247.55,3.04
0048-PIHNL,Permanece en la empresa,Female,No es adulto mayor,Tiene pareja,No tiene dependientes,49,Con servicio telefónico,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.45,900.9,0.6816666666666666
0052-DCKON,Permanece en la empresa,Male,No es adulto mayor,Tiene pareja,No tiene dependientes,66,Con servicio telefónico,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),115.8,7942.15,3.86
0052-YNYOT,Permanece en la empresa,Female,No es adulto mayor,No tiene pareja,No tiene dependientes,67,Con servicio telefónico,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,20.55,1343.4,0.685
0056-EPFBG,Permanece en la empresa,Male,No es adulto mayor,Tiene pareja,Tiene dependientes,20,Sin servicio telefónico,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,Sí,Credit card (automatic),39.4,825.4,1.3133333333333332
0057-QBUQH,Permanece en la empresa,Female,No es adulto mayor,No tiene pareja,Tiene dependientes,43,Con servicio telefónico,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Sí,Electronic check,25.1,1070.15,0.8366666666666667
0058-EVZWM,Permanece en la empresa,Female,No es adulto mayor,Tiene pareja,No tiene dependientes,55,Con servicio telefónico,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Sí,Bank transfer (automatic),89.8,4959.6,2.993333333333333
0060-FUALY,Permanece en la empresa,Female,No es adulto mayor,Tiene pareja,No tiene dependientes,59,Con servicio telefónico,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Sí,Electronic check,94.75,5597.65,3.158333333333333
0064-SUDOG,Permanece en la empresa,Female,No es adulto mayor,Tiene pareja,Tiene dependientes,12,Con servicio telefónico,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.3,224.5,0.6766666666666666
0064-YIJGF,Permanece en la empresa,Male,No es adulto mayor,Tiene pareja,Tiene dependientes,27,Con servicio telefónico,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Sí,Bank transfer (automatic),75.75,1929.0,2.525
0067-DKWBL,Abandonó la empresa,Male,Adulto mayor,No tiene pareja,No tiene dependientes,2,Con servicio telefónico,No,DSL,Yes,No,No,No,No,No,Month-to-month,Sí,Electronic check,49.25,91.1,1.6416666666666666
0068-FIGTF,Permanece en la empresa,Female,No es adulto mayor,No tiene pareja,No tiene dependientes,27,Con servicio telefónico,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Mailed check,78.2,2078.95,2.606666666666667
0071-NDAFP,Permanece en la empresa,Male,No es adulto mayor,Tiene pareja,Tiene dependientes,25,Con servicio telefónico,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.5,630.6,0.85
0074-HDKDG,Permanece en la empresa,Male,No es adulto mayor,Tiene pareja,Tiene dependientes,25,Con servicio telefónico,No,DSL,Yes,Yes,Yes,No,No,No,One year,Sí,Bank transfer (automatic),61.6,1611.0,2.0533333333333332
0076-LVEPS,Permanece en la empresa,Male,No es adulto mayor,No tiene pareja,Tiene dependientes,29,Sin servicio telefónico,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Sí,Mailed check,45.0,1242.45,1.5
0078-XZMHT,Permanece en la empresa,Male,No es adulto mayor,Tiene pareja,No tiene dependientes,72,Con servicio telefónico,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Sí,Bank transfer (automatic),85.15,6316.2,2.8383333333333334
0080-EMYVY,Permanece en la empresa,Female,No es adulto mayor,No tiene pareja,No tiene dependientes,14,Con servicio telefónico,No,DSL,No,Yes,No,No,No,No,One year,No,Credit card (automatic),51.45,727.85,1.715
0080-OROZO,Permanece en la empresa,Female,No es adulto mayor,No tiene pareja,No tiene dependientes,35,Con servicio telefónico,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Sí,Electronic check,99.25,3532.0,3.308333333333333
0082-LDZUE,Permanece en la empresa,Male,No es adulto mayor,No tiene pareja,No tiene dependientes,1,Con servicio telefónico,No,DSL,No,No,No,No,No,No,Month-to-month,Sí,Mailed check,44.3,44.3,1.4766666666666666
0082-OQIQY,Permanece en la empresa,Male,No es adulto mayor,No tiene pareja,No tiene dependientes,29,Con servicio telefónico,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Sí,Electronic check,94.2,2607.6,3.14
0083-PIVIK,Permanece en la empresa,Male,No es adulto mayor,No tiene pareja,No tiene dependientes,64,Con servicio telefónico,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,81.25,5567.55,2.7083333333333335
0089-IIQKO,Permanece en la empresa,Female,No es adulto mayor,Tiene pareja,Tiene dependientes,39,Con servicio telefónico,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Sí,Credit card (automatic),99.95,3767.4,3.3316666666666666
0093-EXYQL,Permanece en la empresa,Female,Adulto mayor,No tiene pareja,No tiene dependientes,40,Con servicio telefónico,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Sí,Electronic check,91.55,3673.6,3.0516666666666667
0093-XWZFY,Abandonó la empresa,Male,No es adulto mayor,No tiene pareja,No tiene dependientes,40,Con servicio telefónico,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Sí,Credit card (automatic),104.5,4036.85,3.4833333333333334
0094-OIFMO,Abandonó la empresa,Female,Adulto mayor,No tiene pareja,No tiene dependientes,11,Con servicio telefónico,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Sí,Electronic check,95.0,1120.3,3.1666666666666665
0096-BXERS,Permanece en la empresa,Female,No es adulto mayor,Tiene pareja,No tiene dependientes,6,Con servicio telefónico,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,50.35,314.55,1.6783333333333335
0096-FCPUF,Permanece en la empresa,Male,No es adulto mayor,No tiene pareja,No tiene dependientes,30,Con servicio telefónico,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Sí,Mailed check,64.5,1888.45,2.15
0098-BOWSO,Permanece en la empresa,Male,No es adulto mayor,No tiene pareja,No tiene dependientes,27,Con servicio telefónico,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Sí,Electronic check,19.4,529.8,0.6466666666666666
0100-DUVFC,Permanece en la empresa,Male,Adulto mayor,Tiene pareja,No tiene dependientes,70,Con servicio telefónico,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Sí,Electronic check,104.8,7308.95,3.493333333333333
0103-CSITQ,Permanece en la empresa,Female,No es adulto mayor,Tiene pareja,No tiene dependientes,57,Con servicio telefónico,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Sí,Bank transfer (automatic),109.4,6252.7,3.646666666666667
0104-PPXDV,Permanece en la empresa,Male,No es adulto mayor,Tiene pareja,No tiene dependientes,58,Con servicio telefónico,No,DSL,No,No,Yes,No,No,No,One year,No,Credit card (automatic),50.3,2878.55,1.6766666666666665
0106-GHRQR,Permanece en la empresa,Male,No es adulto mayor,No tiene pareja,No tiene dependientes,16,Con servicio telefónico,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Sí,Bank transfer (automatic),71.4,1212.1,2.3800000000000003
0106-UGRDO,Permanece en la empresa,Female,No es adulto mayor,Tiene pareja,No tiene dependientes,69,Con servicio telefónico,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Sí,Electronic check,116.0,8182.85,3.8666666666666667
0107-WESLM,Abandonó la empresa,Male,No es adulto mayor,No tiene pareja,No tiene dependientes,1,Con servicio telefónico,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Sí,Electronic check,19.85,19.85,0.6616666666666667
0107-YHINA,Abandonó la empresa,Male,No es adulto mayor,No tiene pareja,Tiene dependientes,1,Con servicio telefónico,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Sí,Electronic check,99.75,99.75,3.325
0111-KLBQG,Permanece en la empresa,Male,Adulto mayor,Tiene pareja,Tiene dependientes,32,Con servicio telefónico,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Sí,Mailed check,93.95,2861.45,3.131666666666667
0112-QAWRZ,Permanece en la empresa,Male,No es adulto mayor,Tiene pareja,Tiene dependientes,16,Con servicio telefónico,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Sí,Bank transfer (automatic),90.8,1442.2,3.0266666666666664
0112-QWPNC,Abandonó la empresa,Male,No es adulto mayor,Tiene pareja,No tiene dependientes,49,Con servicio telefónico,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,84.35,4059.35,2.8116666666666665
0114-IGABW,Permanece en la empresa,Female,No es adulto mayor,Tiene pareja,No tiene dependientes,71,Sin servicio telefónico,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),58.25,4145.9,1.9416666666666667
0114-PEGZZ,Permanece en la empresa,Female,No es adulto mayor,No tiene pareja,No tiene dependientes,33,Con servicio telefónico,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,107.55,3645.5,3.585
0114-RSRRW,Permanece en la empresa,Female,No es adulto mayor,Tiene pareja,No tiene dependientes,10,Con servicio telefónico,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Sí,Bank transfer (automatic),19.95,187.75,0.6649999999999999
0115-TFERT,Abandonó la empresa,Male,No es adulto mayor,Tiene pareja,No tiene dependientes,21,Con servicio telefónico,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Sí,Electronic check,111.2,2317.1,3.7066666666666666
0117-LFRMW,Abandonó la empresa,Male,No es adulto mayor,Tiene pareja,Tiene dependientes,37,Sin servicio telefónico,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),40.2,1448.8,1.34
0118-JPNOY,Permanece en la empresa,Female,Adulto mayor,No tiene pareja,No tiene dependientes,26,Con servicio telefónico,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Sí,Credit card (automatic),85.8,2193.65,2.86
0121-SNYRK,Permanece en la empresa,Male,No es adulto mayor,No tiene pareja,No tiene dependientes,50,Sin servicio telefónico,No phone service,DSL,Yes,No,No,Yes,No,No,One year,Sí,Mailed check,35.4,1748.9,1.18
0122-OAHPZ,Abandonó la empresa,Female,No es adulto mayor,No tiene pareja,No tiene dependientes,7,Con servicio telefónico,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Sí,Electronic check,73.85,511.25,2.4616666666666664
0123-CRBRT,Permanece en la empresa,Female,No es adulto mayor,Tiene pareja,Tiene dependientes,61,Con servicio telefónico,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,88.1,5526.75,2.9366666666666665
0125-LZQXK,Abandonó la empresa,Male,No es adulto mayor,No tiene pareja,No tiene dependientes,15,Con servicio telefónico,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Sí,Electronic check,101.35,1553.95,3.378333333333333
0128-MKWSG,Permanece en la empresa,Female,No es adulto mayor,No tiene pareja,Tiene dependientes,26,Sin servicio telefónico,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,45.8,1147.0,1.5266666666666666
0129-KPTWJ,Permanece en la empresa,Male,No es adulto mayor,Tiene pareja,No tiene dependientes,72,Con servicio telefónico,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Sí,Electronic check,94.65,6747.35,3.1550000000000002
0129-QMPDR,Permanece en la empresa,Male,No es adulto mayor,Tiene pareja,Tiene dependientes,44,Con servicio telefónico,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Sí,Bank transfer (automatic),20.5,865.05,0.6833333333333333
0130-SXOUN,Permanece en la empresa,Male,No es adulto mayor,No tiene pareja,No tiene dependientes,66,Con servicio telefónico,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),89.4,5976.9,2.98
0133-BMFZO,Abandonó la empresa,Female,No es adulto mayor,No tiene pareja,No tiene dependientes,2,Con servicio telefónico,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Sí,Electronic check,86.25,181.65,2.875
0134-XWXCE,Permanece en la empresa,Female,Adulto mayor,No tiene pareja,No tiene dependientes,44,Con servicio telefónico,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),74.85,3268.05,2.4949999999999997
0135-NMXAP,Abandonó la empresa,Female,No es adulto mayor,No tiene pareja,No tiene dependientes,12,Con servicio telefónico,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Sí,Bank transfer (automatic),89.75,1052.4,2.9916666666666667
0136-IFMYD,Permanece en la empresa,Male,Adulto mayor,Tiene pareja,No tiene dependientes,69,Con servicio telefónico,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Sí,Electronic check,109.95,7634.25,3.665
0137-OCGAB,Abandonó la empresa,Female,No es adulto mayor,No tiene pareja,No tiene dependientes,1,Con servicio telefónico,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Sí,Mailed check,80.2,80.2,2.6733333333333333
0137-UDEUO,Abandonó la empresa,Female,No es adulto mayor,No tiene pareja,No tiene dependientes,3,Con servicio telefónico,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.85,63.75,0.6616666666666667
0139-IVFJG,Permanece en la empresa,Female,No es adulto mayor,Tiene pareja,No tiene dependientes,2,Con servicio telefónico,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,90.35,190.5,3.0116666666666663
0141-YEAYS,Permanece en la empresa,Female,Adulto mayor,No tiene pareja,No tiene dependientes,27,Con servicio telefónico,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Sí,Bank transfer (automatic),86.45,2401.05,2.881666666666667
0142-GVYSN,Permanece en la empresa,Male,No es adulto mayor,No tiene pareja,No tiene dependientes,26,Con servicio telefónico,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Sí,Electronic check,20.3,511.25,0.6766666666666666
0147-ESWWR,Permanece en la empresa,Female,Adulto mayor,Tiene pareja,No tiene dependientes,39,Con servicio telefónico,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Sí,Electronic check,101.25,3949.15,3.375
0148-DCDOS,Abandonó la empresa,Male,No es adulto mayor,No tiene pareja,No tiene dependientes,25,Con servicio telefónico,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Sí,Bank transfer (automatic),94.7,2362.1,3.1566666666666667
0151-ONTOV,Abandonó la empresa,Female,No es adulto mayor,No tiene pareja,No tiene dependientes,1,Con servicio telefónico,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.9,70.9,2.3633333333333337
0156-FVPTA,Abandonó la empresa,Male,No es adulto mayor,Tiene pareja,No tiene dependientes,22,Con servicio telefónico,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Sí,Electronic check,54.2,1152.7,1.8066666666666669
0164-APGRB,Permanece en la empresa,Female,No es adulto mayor,No tiene pareja,No tiene dependientes,72,Con servicio telefónico,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Sí,Electronic check,114.9,8496.7,3.83
